id,topic,difficulty,questionText,codeSnippet,optionA,optionB,optionC,optionD,correctOption,explanation
sys-1k-0043,Distributed Consensus (Raft & Paxos),medium,"Under Raft consensus rules, why will a follower node refuse to vote for a candidate even if the candidate's term is higher?","// 5-Node Raft Cluster
// Node 1 initiates election with Term 4",If the candidate's log is less up-to-date (has lower last log term or shorter log length) than the follower's own log.,If the candidate's IP address is numerically higher than the follower.,If the follower has been online for more than 10 minutes.,If the candidate uses UDP packets instead of TCP.,A,"The Raft Leader Completeness invariant requires that a follower grants a vote only if the candidate's log is at least as up-to-date as the voter's own log (higher term, or same term with longer index). (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0044,Distributed Caching & Stampede Mitigation,easy,How does the XFetch algorithm eliminate Cache Stampede (Thundering Herd) when a hot key expires under high concurrency?,"// XFetch Algorithm:
// if ( -delta * beta * ln(random()) ) >= remaining_ttl -> trigger refresh","The probability of a background reader recalculating and updating the cache key increases asymptotically to 1.0 as TTL nears zero, refreshing the cache prior to actual expiry.",It drops all incoming traffic when the cache key reaches 0 TTL.,It locks all Redis shards to single-threaded sequential execution.,It forces the client browser to compute the database query.,A,"XFetch probabilistically triggers early refresh based on computation cost (delta) and TTL. A single reader refreshes the cache ahead of expiration, preventing massive database thundering herds. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0045,Distributed Rate Limiting,hard,Why is a Redis Lua script essential for distributed rate limiting across multiple app servers?,"local key = KEYS[1]
local limit = tonumber(ARGV[1])
local current = tonumber(redis.call('get', key) or '0')
if current + 1 > limit then return 0 else redis.call('incrby', key, 1) return 1 end","Redis executes Lua scripts atomically in its single-threaded event loop, preventing Time-of-Check to Time-of-Use (TOCTOU) race conditions across concurrent servers.",Lua scripts execute inside the client's browser JavaScript engine.,Separate GET and SET commands are banned by HTTP/2.,Lua scripts store rate limit counters in CPU registers.,A,"Separate GET and SET calls allow concurrent servers to interleave commands, exceeding rate limits. Lua scripts execute atomically in Redis without race conditions. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0046,Database Storage Engines & Indexing,medium,"Why do write-heavy distributed databases (Cassandra, RocksDB) utilize Log-Structured Merge-Trees instead of B-Trees?",// LSM Pipeline: Append to WAL -> Insert into MemTable -> Flush to SSTables,"LSM-Trees transform random disk writes into sequential append-only writes, maximizing disk throughput and minimizing disk write amplification.",B-Trees cannot store numeric floating point values.,LSM-Trees do not use persistent disk storage.,LSM-Trees perform random in-place updates directly on flash memory.,A,"B-Trees perform random in-place disk page updates, causing heavy write amplification. LSM-Trees append sequentially to WAL and MemTable, periodically compacting immutable SSTables. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0047,Message Queues & Kafka Internals,easy,How does the Kafka Transaction Coordinator prevent zombie producers from committing split-brain transactions after a network partition?,"producer.initTransactions();
producer.beginTransaction();
producer.send(record);
producer.commitTransaction();","It increments the producer epoch for that transactional.id, causing brokers to reject any subsequent writes from the old producer instance with ProducerFencedException.",It blocks the old producer's IP address on the Linux kernel firewall.,It automatically deletes the target topic partition.,It forces all broker nodes to reboot.,A,"When a new producer instance initializes with a transactional ID, the coordinator bumps the epoch. Any late writes from the old zombie instance are rejected with ProducerFencedException. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0048,Consistent Hashing & Partitioning,hard,What critical problem do Virtual Nodes solve in Consistent Hashing topologies?,"// Hash Ring: 0 to 2^32 - 1
// Physical Nodes mapped to 150 Virtual Nodes each","They prevent hot-spot data skew by distributing token positions evenly across the hash ring, ensuring uniform load distribution when nodes join or leave.",They eliminate the need for hash functions.,They reduce network bandwidth to zero.,They convert distributed hash tables into single-node in-memory lists.,A,"Without virtual nodes, a small cluster has uneven hash token distribution. Mapping each physical server to 100-200 virtual nodes creates a balanced, uniform distribution across the ring. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0049,Distributed Transactions & Saga,medium,Why is Orchestrated Saga preferred over Choreographed Saga for complex distributed workflows with many microservice dependencies?,"// Order Saga Orchestrator:
// 1. ReserveStock -> 2. ProcessPayment -> 3. DispatchShipment
// If Step 2 fails -> Trigger CompensateStock()","An Orchestrator provides a centralized state machine with clear compensation visibility, preventing cyclic event mesh deadlocks and event spaghetti.",Choreography is prohibited by ISO 20022 standards.,Orchestrator eliminates network communication between services.,Choreography consumes 100x more memory than orchestration.,A,"In complex workflows, an orchestrator coordinates transactions centrally, tracks timeouts, and invokes compensating rollbacks predictably without tangled event dependencies. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0050,Transactional Outbox & CDC,easy,How does the Transactional Outbox pattern paired with Debezium CDC prevent data inconsistencies compared to dual writes?,"// Local ACID Transaction:
orderRepo.save(order);
outboxRepo.save(new OutboxEvent(""OrderCreated"", order.getId()));",The entity update and outbox record are committed atomically in the same local database transaction; Debezium streams WAL commits to Kafka with at-least-once guarantee.,It converts Kafka topics into relational database tables.,It eliminates the need for database transaction logs entirely.,It guarantees zero network latency across microservices.,A,"Dual-writes fail if the DB commit succeeds but Kafka send fails. The Outbox pattern writes to the local DB table atomically, and Debezium tails the database WAL to publish events reliably. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0051,Distributed Consensus (Raft & Paxos),hard,"Under Raft consensus rules, why will a follower node refuse to vote for a candidate even if the candidate's term is higher?","// 5-Node Raft Cluster
// Node 1 initiates election with Term 4",If the candidate's log is less up-to-date (has lower last log term or shorter log length) than the follower's own log.,If the candidate's IP address is numerically higher than the follower.,If the follower has been online for more than 10 minutes.,If the candidate uses UDP packets instead of TCP.,A,"The Raft Leader Completeness invariant requires that a follower grants a vote only if the candidate's log is at least as up-to-date as the voter's own log (higher term, or same term with longer index). (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0052,Distributed Caching & Stampede Mitigation,medium,How does the XFetch algorithm eliminate Cache Stampede (Thundering Herd) when a hot key expires under high concurrency?,"// XFetch Algorithm:
// if ( -delta * beta * ln(random()) ) >= remaining_ttl -> trigger refresh","The probability of a background reader recalculating and updating the cache key increases asymptotically to 1.0 as TTL nears zero, refreshing the cache prior to actual expiry.",It drops all incoming traffic when the cache key reaches 0 TTL.,It locks all Redis shards to single-threaded sequential execution.,It forces the client browser to compute the database query.,A,"XFetch probabilistically triggers early refresh based on computation cost (delta) and TTL. A single reader refreshes the cache ahead of expiration, preventing massive database thundering herds. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
sys-1k-0053,Distributed Rate Limiting,easy,Why is a Redis Lua script essential for distributed rate limiting across multiple app servers?,"local key = KEYS[1]
local limit = tonumber(ARGV[1])
local current = tonumber(redis.call('get', key) or '0')
if current + 1 > limit then return 0 else redis.call('incrby', key, 1) return 1 end","Redis executes Lua scripts atomically in its single-threaded event loop, preventing Time-of-Check to Time-of-Use (TOCTOU) race conditions across concurrent servers.",Lua scripts execute inside the client's browser JavaScript engine.,Separate GET and SET commands are banned by HTTP/2.,Lua scripts store rate limit counters in CPU registers.,A,"Separate GET and SET calls allow concurrent servers to interleave commands, exceeding rate limits. Lua scripts execute atomically in Redis without race conditions. (Bloom's Taxonomy Level 3: Application & Troubleshooting)."
